assembly	acetylcoa	but	buk	succinate	pdiol
GENOME096095	0	0	0	1	0
GENOME096101	1	0	1	0	0
GENOME096126	1	1	0	0	0
GENOME096130	0	0	0	0	0
GENOME096139	0	0	0	0	0
GENOME096181	0	0	0	0	0
GENOME096199	0	0	0	0	0
GENOME096205	0	0	0	1	0
GENOME096211	1	0	0	0	0
GENOME096212	1	0	0	0	1
GENOME096215	0	0	0	0	0
GENOME096218	0	0	0	0	0
GENOME096238	0	0	0	0	0
GENOME096242	0	0	0	0	1
GENOME096249	1	0	0	1	1
GENOME096282	0	0	0	0	0
GENOME096305	0	0	0	0	0
GENOME096306	0	0	0	0	0
GENOME096307	0	0	0	0	0
GENOME096309	0	0	0	0	0
GENOME096310	0	0	0	0	0
GENOME096311	0	0	0	0	0
GENOME096313	0	0	0	0	0
GENOME096315	0	0	0	0	0
GENOME096316	0	0	0	0	0
GENOME096317	0	0	0	0	0
GENOME096319	0	0	0	0	0
GENOME096320	0	0	0	0	0
GENOME096321	0	0	0	0	0
GENOME096323	0	0	0	0	0
GENOME096328	0	0	0	0	0
GENOME096330	0	0	0	0	0
GENOME096333	0	0	0	0	0
GENOME096337	0	0	0	0	0
GENOME096339	0	0	0	0	0
GENOME096341	0	0	0	0	0
GENOME096342	0	0	0	0	0
GENOME096343	0	0	0	0	0
GENOME096344	0	0	0	0	0
GENOME096360	0	0	0	0	0
GENOME096362	0	0	0	0	0
GENOME096363	0	0	0	0	0
GENOME096382	0	0	0	0	0
GENOME096400	0	0	0	0	0
GENOME096403	0	0	0	0	1
GENOME096408	1	0	0	0	1
GENOME096438	0	0	0	0	0
GENOME096440	0	0	0	1	0
GENOME096474	0	0	0	1	0
GENOME096492	0	0	0	1	0
GENOME096549	0	0	0	0	0
GENOME096552	0	0	0	0	1
GENOME103691	0	0	0	0	0
GENOME103693	0	0	0	0	0
GENOME103711	0	0	0	0	0
GENOME103728	0	0	0	0	0
GENOME103743	0	0	0	0	0
GENOME103755	0	0	0	1	0
GENOME103818	1	0	1	0	0
GENOME103837	0	0	0	1	0
GENOME103840	0	0	0	0	0
GENOME103862	0	0	0	1	0
GENOME103875	0	0	0	0	0
GENOME124280	0	0	0	1	0
GENOME140042	0	0	0	1	0
GENOME140051	0	0	0	0	0
GENOME140063	0	0	0	0	0
GENOME140071	0	0	0	0	0
GENOME140072	0	0	0	0	0
GENOME140091	0	0	0	1	0
GENOME140094	0	0	0	0	1
GENOME140100	1	1	0	0	0
GENOME140111	1	1	0	0	0
GENOME140114	1	1	0	0	0
GENOME140262	1	1	0	0	0
GENOME140271	0	0	0	0	1
GENOME140274	0	0	0	0	0
GENOME140290	1	1	0	0	0
GENOME140292	0	0	0	0	0
GENOME140317	0	0	0	0	0
GENOME140318	1	1	0	0	0
GENOME140328	1	0	1	0	0
GENOME140335	0	0	0	0	0
GENOME140346	0	0	0	0	1
GENOME140375	0	0	0	0	0
GENOME140377	0	0	0	0	0
GENOME140383	0	0	0	0	0
GENOME140407	0	0	0	0	0
GENOME140718	0	0	0	0	0
GENOME140881	0	0	0	0	1
GENOME140939	0	0	0	0	1
GENOME140979	0	0	0	0	1
GENOME141019	0	0	0	0	0
GENOME141048	0	0	0	0	0
GENOME141093	0	0	0	0	0
GENOME141094	0	0	0	0	0
GENOME141095	0	0	0	0	0
GENOME141104	0	0	0	0	0
GENOME141106	0	0	0	0	0
GENOME141116	0	0	0	0	1
GENOME141222	0	0	0	0	0
GENOME141246	0	0	0	0	0
GENOME141255	0	0	0	0	0
GENOME141259	0	0	0	0	0
GENOME141282	0	0	0	0	0
GENOME141290	0	0	0	0	0
GENOME141294	0	0	0	0	0
GENOME141308	0	0	0	0	0
GENOME141321	0	0	0	0	0
GENOME141328	0	0	0	0	0
GENOME141347	0	0	0	0	0
GENOME141354	0	0	0	0	0
GENOME141370	0	0	0	0	0
GENOME141372	0	0	0	0	0
GENOME141377	0	0	0	0	0
GENOME141382	0	0	0	0	0
GENOME141514	0	0	0	0	0
GENOME141515	0	0	0	0	0
GENOME141709	0	0	0	0	0
GENOME141724	0	0	0	0	0
GENOME141726	0	0	0	0	0
GENOME141742	1	0	1	0	0
GENOME141753	0	0	0	0	0
GENOME141781	0	0	0	0	0
GENOME141808	0	0	0	0	0
GENOME141873	0	0	0	0	0
GENOME141898	0	0	0	0	1
GENOME142011	0	0	0	0	0
GENOME142016	0	0	0	0	0
GENOME142051	0	0	0	0	1
GENOME142056	0	0	0	0	0
GENOME142058	0	0	0	1	0
GENOME142060	1	0	1	0	0
GENOME142064	1	0	1	0	0
GENOME142154	1	0	1	0	0
GENOME142155	1	0	1	0	0
GENOME142397	1	1	0	0	0
GENOME142398	1	0	0	0	0
GENOME142404	1	0	1	0	0
GENOME142414	0	0	0	0	1
GENOME142417	0	0	0	0	0
GENOME142436	0	0	0	0	0
GENOME142513	0	0	0	0	0
GENOME142540	0	0	0	0	0
GENOME142565	0	0	0	0	0
GENOME142570	0	0	0	0	0
GENOME142571	0	0	0	0	1
GENOME142579	0	0	0	0	0
GENOME142582	0	0	0	0	0
GENOME142689	0	0	0	0	1
GENOME142733	0	0	0	0	0
GENOME142770	0	0	0	0	0
GENOME142786	0	0	0	0	0
GENOME142800	0	0	0	0	0
GENOME142969	0	0	0	0	0
GENOME143091	0	0	0	0	0
GENOME143100	0	0	0	0	0
GENOME143102	0	0	0	0	0
GENOME143106	0	0	0	0	0
GENOME143109	0	0	0	0	0
GENOME143110	0	0	0	0	0
GENOME143114	0	0	0	0	0
GENOME143117	0	0	0	0	0
GENOME143122	0	0	0	0	0
GENOME143129	0	0	0	1	0
GENOME143132	1	1	0	0	0
GENOME143154	0	0	0	0	0
GENOME143230	1	1	0	0	0
GENOME143354	0	0	0	0	0
GENOME143360	0	0	0	0	0
GENOME143401	0	0	0	0	0
GENOME143402	1	0	1	0	0
GENOME143418	0	0	0	0	0
GENOME143485	0	0	0	1	0
GENOME143488	0	0	0	0	1
GENOME143490	0	0	0	0	1
GENOME143507	0	0	0	0	0
GENOME143513	0	0	0	0	0
GENOME143516	1	1	0	0	0
GENOME143523	0	0	0	0	0
GENOME143634	0	0	0	0	0
GENOME143717	0	0	0	0	0
GENOME143750	0	0	0	0	0
GENOME143755	0	0	0	0	0
GENOME143763	0	0	0	1	0
GENOME143941	0	0	0	0	0
GENOME144325	0	0	0	0	0
GENOME144391	0	0	0	0	1
GENOME144480	0	0	0	0	1
GENOME144972	0	0	0	0	0
GENOME145120	0	0	0	0	0
GENOME145992	0	0	0	0	1
GENOME145997	1	1	0	0	0
GENOME146048	0	0	0	0	0
GENOME147128	0	0	0	0	1
GENOME147137	0	0	0	0	0
GENOME147141	0	0	0	0	0
GENOME147143	0	0	0	0	0
GENOME147144	0	0	0	0	0
GENOME147147	0	0	0	0	0
GENOME147151	0	0	0	0	0
GENOME147154	0	0	0	0	0
GENOME147255	0	0	0	0	0
GENOME147521	0	0	0	0	0
GENOME147628	1	0	0	0	1
GENOME147676	0	0	0	0	0
GENOME147684	0	0	0	0	0
GENOME147789	0	0	0	0	0
GENOME147855	0	0	0	1	0
GENOME147874	0	0	0	1	0
GENOME204231	1	0	1	0	0
GENOME218029	1	1	0	0	0
GENOME239652	1	1	0	0	0
GENOME239655	1	1	0	0	1
GENOME239658	0	0	0	0	0
GENOME239679	1	1	0	0	0
GENOME239683	0	0	0	0	0
GENOME239689	0	0	0	0	0
GENOME239702	0	0	0	0	0
GENOME239711	0	0	0	0	0
GENOME239731	0	0	0	0	0
GENOME239733	1	1	0	0	0
GENOME239736	0	0	0	0	1
GENOME239782	1	0	0	0	0
GENOME239805	0	0	0	0	0
GENOME239807	0	0	0	0	1
MGYG-HGUT-00001	0	0	0	0	1
MGYG-HGUT-00002	0	0	0	0	1
MGYG-HGUT-00003	0	0	0	1	0
MGYG-HGUT-00004	1	0	0	0	0
MGYG-HGUT-00005	0	0	0	1	0
MGYG-HGUT-00006	0	0	0	0	0
MGYG-HGUT-00007	0	0	0	0	0
MGYG-HGUT-00008	0	0	0	0	0
MGYG-HGUT-00009	0	0	0	0	0
MGYG-HGUT-00010	0	0	0	0	0
MGYG-HGUT-00011	0	0	0	0	0
MGYG-HGUT-00012	0	0	0	0	0
MGYG-HGUT-00013	0	0	0	1	0
MGYG-HGUT-00014	1	0	2	0	0
MGYG-HGUT-00015	0	0	0	0	0
MGYG-HGUT-00016	0	0	0	0	0
MGYG-HGUT-00017	0	0	0	0	0
MGYG-HGUT-00018	1	1	1	0	0
MGYG-HGUT-00019	0	0	0	0	0
MGYG-HGUT-00020	0	0	0	0	1
MGYG-HGUT-00021	0	0	0	0	0
MGYG-HGUT-00022	1	1	0	0	0
MGYG-HGUT-00023	0	0	0	0	0
MGYG-HGUT-00024	0	0	0	1	0
MGYG-HGUT-00025	0	0	0	0	0
MGYG-HGUT-00026	0	0	0	0	0
MGYG-HGUT-00027	0	0	0	0	0
MGYG-HGUT-00028	1	1	0	0	0
MGYG-HGUT-00029	0	0	0	1	0
MGYG-HGUT-00030	1	0	1	0	0
MGYG-HGUT-00031	0	0	0	0	1
MGYG-HGUT-00032	0	0	0	0	0
MGYG-HGUT-00033	0	0	0	0	1
MGYG-HGUT-00034	0	0	0	0	0
MGYG-HGUT-00035	0	0	0	0	0
MGYG-HGUT-00036	0	0	0	0	0
MGYG-HGUT-00037	0	0	0	0	0
MGYG-HGUT-00038	0	0	0	0	0
MGYG-HGUT-00039	1	1	0	0	0
MGYG-HGUT-00040	1	1	0	0	0
MGYG-HGUT-00041	1	0	1	0	0
MGYG-HGUT-00042	0	0	0	1	0
MGYG-HGUT-00043	0	0	0	1	0
MGYG-HGUT-00044	0	0	0	1	0
MGYG-HGUT-00045	0	0	0	0	0
MGYG-HGUT-00046	1	1	0	0	0
MGYG-HGUT-00047	1	0	1	0	1
MGYG-HGUT-00048	1	0	1	0	0
MGYG-HGUT-00049	0	0	0	0	1
MGYG-HGUT-00050	0	0	0	0	1
MGYG-HGUT-00051	0	0	0	0	0
MGYG-HGUT-00052	1	1	0	0	0
MGYG-HGUT-00053	0	0	0	1	0
MGYG-HGUT-00054	0	0	0	1	0
MGYG-HGUT-00055	0	0	0	1	0
MGYG-HGUT-00056	0	0	0	1	0
MGYG-HGUT-00057	0	0	0	1	0
MGYG-HGUT-00058	1	0	0	0	0
MGYG-HGUT-00059	1	1	0	0	0
MGYG-HGUT-00060	0	0	0	0	0
MGYG-HGUT-00061	0	0	0	0	0
MGYG-HGUT-00062	0	0	0	0	0
MGYG-HGUT-00063	1	1	0	0	0
MGYG-HGUT-00065	1	1	0	0	0
MGYG-HGUT-00066	0	0	0	0	1
MGYG-HGUT-00067	0	0	0	0	0
MGYG-HGUT-00068	1	1	0	0	0
MGYG-HGUT-00069	0	0	0	0	0
MGYG-HGUT-00070	1	1	0	0	0
MGYG-HGUT-00071	0	0	0	0	0
MGYG-HGUT-00072	0	0	0	0	0
MGYG-HGUT-00073	0	0	0	0	0
MGYG-HGUT-00074	0	0	0	1	0
MGYG-HGUT-00075	0	0	0	1	0
MGYG-HGUT-00076	1	1	0	0	0
MGYG-HGUT-00077	1	1	0	0	1
MGYG-HGUT-00078	0	0	0	0	0
MGYG-HGUT-00079	0	0	0	0	0
MGYG-HGUT-00080	1	1	0	0	0
MGYG-HGUT-00081	0	0	0	0	0
MGYG-HGUT-00082	0	0	0	0	0
MGYG-HGUT-00083	0	0	0	1	0
MGYG-HGUT-00084	1	0	1	0	0
MGYG-HGUT-00085	0	0	0	0	0
MGYG-HGUT-00086	1	1	0	0	0
MGYG-HGUT-00087	1	1	0	0	0
MGYG-HGUT-00088	0	0	0	0	0
MGYG-HGUT-00089	0	0	0	0	0
MGYG-HGUT-00090	1	1	0	0	0
MGYG-HGUT-00091	0	0	0	0	0
MGYG-HGUT-00092	0	0	0	0	0
MGYG-HGUT-00093	0	0	0	0	1
MGYG-HGUT-00095	0	0	0	0	1
MGYG-HGUT-00096	0	0	0	0	0
MGYG-HGUT-00097	0	0	0	0	0
MGYG-HGUT-00098	0	0	0	1	0
MGYG-HGUT-00099	1	0	0	1	1
MGYG-HGUT-00100	0	0	0	1	0
MGYG-HGUT-00101	0	0	0	0	0
MGYG-HGUT-00102	0	0	0	0	0
MGYG-HGUT-00103	1	1	0	0	0
MGYG-HGUT-00104	1	0	1	0	0
MGYG-HGUT-00105	0	0	0	1	0
MGYG-HGUT-00106	0	0	0	0	0
MGYG-HGUT-00107	0	0	0	0	1
MGYG-HGUT-00108	0	0	0	0	1
MGYG-HGUT-00109	0	0	0	0	0
MGYG-HGUT-00110	0	0	0	0	0
MGYG-HGUT-00111	0	0	0	1	0
MGYG-HGUT-00112	0	0	0	0	0
MGYG-HGUT-00114	0	0	0	0	0
MGYG-HGUT-00115	1	0	1	0	0
MGYG-HGUT-00116	0	0	0	0	0
MGYG-HGUT-00117	0	0	0	1	0
MGYG-HGUT-00118	0	0	0	0	0
MGYG-HGUT-00119	0	0	0	0	0
MGYG-HGUT-00120	1	1	0	0	0
MGYG-HGUT-00121	1	1	0	0	1
MGYG-HGUT-00122	0	0	0	0	0
MGYG-HGUT-00123	0	0	0	0	0
MGYG-HGUT-00124	0	0	0	0	1
MGYG-HGUT-00125	1	0	0	0	0
MGYG-HGUT-00126	1	1	0	0	0
MGYG-HGUT-00127	1	0	0	0	1
MGYG-HGUT-00128	0	0	0	1	0
MGYG-HGUT-00129	0	0	0	0	0
MGYG-HGUT-00130	1	1	0	0	0
MGYG-HGUT-00131	0	0	0	0	0
MGYG-HGUT-00132	0	0	0	0	0
MGYG-HGUT-00133	0	0	0	0	1
MGYG-HGUT-00134	0	0	0	0	0
MGYG-HGUT-00135	0	0	0	0	1
MGYG-HGUT-00136	1	1	0	0	0
MGYG-HGUT-00137	0	0	0	0	0
MGYG-HGUT-00138	0	0	0	1	0
MGYG-HGUT-00139	1	0	1	0	0
MGYG-HGUT-00140	0	0	0	0	0
MGYG-HGUT-00141	0	0	0	0	0
MGYG-HGUT-00142	0	0	0	0	1
MGYG-HGUT-00143	0	0	0	0	0
MGYG-HGUT-00144	0	0	0	1	0
MGYG-HGUT-00145	0	0	0	0	1
MGYG-HGUT-00146	0	0	0	0	0
MGYG-HGUT-00147	0	0	0	0	0
MGYG-HGUT-00148	0	0	0	0	0
MGYG-HGUT-00149	1	0	1	0	0
MGYG-HGUT-00150	0	0	0	0	0
MGYG-HGUT-00151	1	0	1	0	0
MGYG-HGUT-00152	0	0	0	0	0
MGYG-HGUT-00153	1	1	0	0	0
MGYG-HGUT-00154	1	1	0	0	0
MGYG-HGUT-00155	0	0	0	0	0
MGYG-HGUT-00157	0	0	0	1	0
MGYG-HGUT-00158	0	0	0	0	0
MGYG-HGUT-00159	0	0	0	0	0
MGYG-HGUT-00160	0	0	0	0	0
MGYG-HGUT-00161	0	0	0	0	0
MGYG-HGUT-00162	0	0	0	0	0
MGYG-HGUT-00163	0	0	0	0	0
MGYG-HGUT-00164	1	1	0	0	0
MGYG-HGUT-00165	0	0	0	0	0
MGYG-HGUT-00166	0	0	0	0	0
MGYG-HGUT-00168	1	0	0	1	0
MGYG-HGUT-00169	1	0	1	0	0
MGYG-HGUT-00170	0	0	0	1	0
MGYG-HGUT-00171	0	0	0	0	1
MGYG-HGUT-00172	0	0	0	0	0
MGYG-HGUT-00173	0	0	0	0	0
MGYG-HGUT-00174	0	0	0	1	0
MGYG-HGUT-00175	0	0	0	0	1
MGYG-HGUT-00176	0	0	0	0	1
MGYG-HGUT-00177	0	0	0	0	0
MGYG-HGUT-00178	1	1	0	0	0
MGYG-HGUT-00179	0	0	0	0	0
MGYG-HGUT-00180	0	0	0	0	0
MGYG-HGUT-00181	0	0	0	0	0
MGYG-HGUT-00182	0	0	0	1	0
MGYG-HGUT-00183	1	0	0	1	0
MGYG-HGUT-00184	0	0	0	0	1
MGYG-HGUT-00185	1	1	0	0	0
MGYG-HGUT-00186	1	0	0	0	0
MGYG-HGUT-00187	0	0	0	0	0
MGYG-HGUT-00188	0	0	0	0	0
MGYG-HGUT-00189	1	1	1	0	0
MGYG-HGUT-00190	1	0	1	0	0
MGYG-HGUT-00191	0	0	0	0	0
MGYG-HGUT-00192	0	0	0	0	0
MGYG-HGUT-00194	0	0	0	0	0
MGYG-HGUT-00195	1	1	0	0	0
MGYG-HGUT-00196	0	0	0	1	0
MGYG-HGUT-00198	0	0	0	0	1
MGYG-HGUT-00199	0	0	0	0	0
MGYG-HGUT-00200	0	0	0	0	1
MGYG-HGUT-00201	0	0	0	0	1
MGYG-HGUT-00202	0	0	0	0	1
MGYG-HGUT-00203	1	0	0	1	0
MGYG-HGUT-00204	1	0	1	0	0
MGYG-HGUT-00205	1	1	0	0	1
MGYG-HGUT-00206	0	0	0	0	0
MGYG-HGUT-00208	1	0	1	0	0
MGYG-HGUT-00209	1	1	0	0	0
MGYG-HGUT-00211	0	0	0	1	0
